time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file
2014-11-01T18:44:35.406,1.10508,0.47065,0.13636,-0.01217,14.8992,16,12,4,23,152.23271,79.92687,14.01308,-87.26193,38.20733,14013.0842,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-01T18:44:14.199,1.27945,0.35053,0.22114,0.01284,24.94022,25,22,3,24,167.55145,-15.27496,10.05541,-87.109,37.34723,10055.40851,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-01T22:19:50.844,1.40675,1.46971,0.41948,0.03435,54.94566,55,36,19,31,153.81153,71.93282,20.21732,-87.24562,38.13507,20217.31907,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-02T13:40:33.932,0.61481,3.16633,0.32821,-0.39792,25.55367,20,10,10,48,155.39028,30.05417,33.06115,-87.23661,37.75763,33061.15404,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-02T18:03:22.783,1.5026,1.43468,0.36751,0.02109,48.66402,49,36,13,56,144.01885,80.98826,23.5347,-87.35546,38.21823,23534.70374,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-02T18:14:46.366,0.87719,1.14202,0.26983,-0.0467,21.85733,22,12,10,57,137.455,84.74411,14.51481,-87.42967,38.25307,14514.81248,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-02T19:58:37.079,1.27018,1.33565,0.59252,-0.14205,16.50975,18,13,5,59,122.26342,88.78592,36.5754,-87.6025,38.29165,36575.39827,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-03T14:36:26.783,1.25695,0.91786,0.34057,-0.00981,32.71357,33,18,15,77,157.75026,72.14471,11.76718,-87.20067,38.1363,11767.17748,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-03T18:49:28.329,1.3553,1.37955,0.36928,-0.07377,42.80718,43,27,16,83,146.95125,77.36479,24.99346,-87.32273,38.18512,24993.45749,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-03T21:25:37.672,1.55728,1.64312,0.46778,0.06439,24.19606,17,14,3,91,171.11629,-13.9906,0.0,-87.06848,37.35815,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
