time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file,time_central
2014-11-01T00:59:41.669,1.17535,2.80785,0.79713,-0.98062,69.0,42,41,1,1,109.3788,25.42057,41.0,-87.75935,37.72252,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T19:59:41.669
2014-11-01T01:59:43.793,1.02622,2.18069,1.20667,-0.58014,17.77123,8,7,1,2,171.07912,12.46714,41.0,-87.06276,37.59645,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T20:59:43.793
2014-11-01T01:58:58.894,2.0763,2.23617,0.69732,-0.28294,45.22877,41,41,0,3,-39.39762,-167.79239,41.0,-89.43681,35.98727,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T20:58:58.894
2014-11-01T02:15:37.015,0.25582,1.81725,0.25572,-0.98637,22.0,10,5,5,4,191.68839,-32.43185,21.03507,-86.84114,37.18804,21035.07456,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T21:15:37.015
2014-11-01T02:59:43.319,1.07048,3.01067,0.47379,-0.91876,67.0,37,36,1,5,121.18593,40.40337,41.0,-87.62295,37.856,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T21:59:43.319
2014-11-01T03:59:43.607,1.02734,2.89592,0.7464,-0.9475,69.0,39,36,3,6,141.6706,26.308,41.0,-87.39299,37.72611,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T22:59:43.607
2014-11-01T04:59:43.875,1.05868,2.75858,0.79609,-1.28311,66.0,42,41,1,7,149.33525,12.945,41.0,-87.3088,37.60453,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-10-31T23:59:43.875
2014-11-01T05:59:44.571,0.99513,2.49264,0.74882,-0.98341,67.0,43,40,3,8,141.9195,21.577,41.0,-87.39109,37.68345,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-01T00:59:44.571
2014-11-01T06:59:42.817,1.04345,2.56014,0.83212,-0.99972,63.01895,39,37,2,9,114.61255,24.54684,41.0,-87.70013,37.71402,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-01T01:59:42.817
2014-11-01T07:59:42.658,1.02889,3.30099,0.80398,-1.04705,66.0,38,35,3,10,142.2139,26.1501,41.0,-87.38686,37.7246,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-01T02:59:42.658
